air_pollution_class,concatenate_pollutant_aggregation,country_fake,download_raw_data,google_map,sampling_point,air_pollutant_group,air_quality_station_area,air_quality_station_type,aq_station_name,city,country_colour,country,data_aggregation_label,download_raw_data_1,google_map_1,sampling_point_1,unit_of_airpollution_level,uom_corrected,year_of_statistics,latitude,longitude,geometry_generated,air_pollution_level,threshold_1,threshold_3,year,region
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBB075&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/52.484200000000001+13.123699999999999,SPO.DE_DEBB075_PM2_dataGroup2,PM2.5,Suburban,Background,"Potsdam, Groß Glienicke",Potsdam,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/52.484200000000001+13.123699999999999,SPO.DE_DEBB075_PM2_dataGroup2,ug/m3,ug/m3,2020,52.4842,13.1237,NA,8.509,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBB086&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/52.349699999999999+13.424300000000001,SPO.DE_DEBB086_PM2_dataGroup1,PM2.5,Suburban,Background,Blankenfelde-Mahlow,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/52.349699999999999+13.424300000000001,SPO.DE_DEBB086_PM2_dataGroup1,ug/m3,ug/m3,2020,52.3497,13.4243,NA,9.788,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBB092&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/52.334699999999998+14.526,SPO.DE_DEBB092_PM2_dataGroup1,PM2.5,Suburban,Background,Frankfurt (Oder),Frankfurt (Oder),NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/52.334699999999998+14.526,SPO.DE_DEBB092_PM2_dataGroup1,ug/m3,ug/m3,2020,52.3347,14.526,NA,9.919,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBB110&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/52.539499999999997+13.0488,SPO.DE_DEBB110_PM2_dataGroup1,PM2.5,Suburban,Background,Dallgow-Döberitz,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/52.539499999999997+13.0488,SPO.DE_DEBB110_PM2_dataGroup1,ug/m3,ug/m3,2020,52.5395,13.0488,NA,8.854,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBE032&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/52.473199999999999+13.225099999999999,SPO.DE_DEBE032_PM2_dataGroup1,PM2.5,Rural,Background,Berlin Grunewald (3.5 m),Berlin,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/52.473199999999999+13.225099999999999,SPO.DE_DEBE032_PM2_dataGroup1,ug/m3,ug/m3,2020,52.4732,13.2251,NA,9.367,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW005&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/49.5441+8.4652999999999992,SPO.DE_DEBW005_PM2_dataGroup2,PM2.5,Suburban,Industrial,Mannheim-Nord,Mannheim,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/49.5441+8.4652999999999992,SPO.DE_DEBW005_PM2_dataGroup2,ug/m3,ug/m3,2020,49.5441,8.4653,NA,9.261,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW013&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.808799999999998+9.2296999999999993,SPO.DE_DEBW013_PM2_dataGroup2,PM2.5,Urban,Background,Stuttgart-Bad Cannstatt,Stuttgart,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.808799999999998+9.2296999999999993,SPO.DE_DEBW013_PM2_dataGroup2,ug/m3,ug/m3,2020,48.8088,9.2297,NA,9.36,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW015&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/49.165500000000002+9.2248000000000001,SPO.DE_DEBW015_PM2_dataGroup2,PM2.5,Urban,Background,Heilbronn,Heilbronn,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/49.165500000000002+9.2248000000000001,SPO.DE_DEBW015_PM2_dataGroup2,ug/m3,ug/m3,2020,49.1655,9.2248,NA,9.236,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW019&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.396799999999999+9.9789999999999992,SPO.DE_DEBW019_PM2_dataGroup2,PM2.5,Urban,Background,Ulm,Ulm,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.396799999999999+9.9789999999999992,SPO.DE_DEBW019_PM2_dataGroup2,ug/m3,ug/m3,2020,48.3968,9.979,NA,8.977,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW022&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.578200000000002+7.8022999999999998,SPO.DE_DEBW022_PM2_dataGroup2,PM2.5,Suburban,Industrial,Kehl,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.578200000000002+7.8022999999999998,SPO.DE_DEBW022_PM2_dataGroup2,ug/m3,ug/m3,2020,48.5782,7.8023,NA,9.119,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW023&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/47.588200000000001+7.6333000000000002,SPO.DE_DEBW023_PM2_dataGroup2,PM2.5,Suburban,Background,Weil am Rhein,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/47.588200000000001+7.6333000000000002,SPO.DE_DEBW023_PM2_dataGroup2,ug/m3,ug/m3,2020,47.5882,7.6333,NA,7.915,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW033&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.889000000000003+8.6654999999999998,SPO.DE_DEBW033_PM2_dataGroup2,PM2.5,Urban,Background,Pforzheim,Pforzheim,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.889000000000003+8.6654999999999998,SPO.DE_DEBW033_PM2_dataGroup2,ug/m3,ug/m3,2020,48.889,8.6655,NA,8.794,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW052&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/47.664400000000001+9.1692999999999998,SPO.DE_DEBW052_PM2_dataGroup2,PM2.5,Urban,Background,Konstanz,Konstanz,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/47.664400000000001+9.1692999999999998,SPO.DE_DEBW052_PM2_dataGroup2,ug/m3,ug/m3,2020,47.6644,9.1693,NA,8.054,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW080&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/49.008000000000003+8.3872,SPO.DE_DEBW080_PM2_dataGroup2,PM2.5,Urban,Traffic,Karlsruhe Reinhold-Frank-Straße,Karlsruhe,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/49.008000000000003+8.3872,SPO.DE_DEBW080_PM2_dataGroup2,ug/m3,ug/m3,2020,49.008,8.3872,NA,9.266,NA,NA,2020,West
