"Air.Pollution.Class","Concatenate.pollutant.aggregation","Country.Fake","DownloadRawData","GoogleMap","Sampling.Point","Air.Pollutant.Group","Air.Quality.Station.Area","Air.Quality.Station.Type","AQ.Station.Name","City","Country.Colour","Country","Data.Aggregation.Label","DownloadRawData.1","GoogleMap.1","Sampling.Point.1","Unit.Of.Airpollution.Level","UOM.corrected","Year.Of.Statistics","Latitude","Longitude","Geometry..generated.","Air.Pollution.Level","Threshold.1","Threshold.3","Year","Region"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0218A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.349600000000002+18.236599999999999","SPO_PL0218A_6001_001","PM2.5","Urban","Background","Kędzierzyn-Koźle, ul. Śmiałego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.349600000000002+18.236599999999999","SPO_PL0218A_6001_001","ug/m3","ug/m3",2018,50.3496,18.2366,"",28.867,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0238A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.279499999999999+18.6557","SPO_PL0238A_6001_002","PM2.5","Urban","Background","Gliwice, ul. Mewy","Gliwice",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.279499999999999+18.6557","SPO_PL0238A_6001_002","ug/m3","ug/m3",2018,50.2795,18.6557,"",32.928,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0252A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.1218+17.9879","SPO_PL0252A_6001_001","PM2.5","Urban","Traffic","Bydgoszcz, pl. Poznański","Bydgoszcz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.1218+17.9879","SPO_PL0252A_6001_001","ug/m3","ug/m3",2018,53.1218,17.9879,"",27.705,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0413A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.690199999999997+21.749700000000001","SPO_PL0413A_6001_001","PM2.5","Urban","Background","Krosno, ul. Kletówki","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.690199999999997+21.749700000000001","SPO_PL0413A_6001_001","ug/m3","ug/m3",2018,49.6902,21.7497,"",25.081,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0498A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.801900000000003+19.106999999999999","SPO_PL0498A_6001_001","PM2.5","Urban","Background","Częstochowa, ul. Zana","Czestochowa",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.801900000000003+19.106999999999999","SPO_PL0498A_6001_001","ug/m3","ug/m3",2018,50.8019,19.107,"",26.482,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0499A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.806399999999996+19.023199999999999","SPO_PL0499A_6001_001","PM2.5","Urban","Background","Bielsko-Biała, ul. Sternicza","Bielsko-Biala",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.806399999999996+19.023199999999999","SPO_PL0499A_6001_001","ug/m3","ug/m3",2018,49.8064,19.0232,"",29.152,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0501A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.010599999999997+19.949200000000001","SPO_PL0501A_6001_002","PM2.5","Urban","Background","Kraków, ul. Bujaka","Kraków",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.010599999999997+19.949200000000001","SPO_PL0501A_6001_002","ug/m3","ug/m3",2018,50.0106,19.9492,"",30.84,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0509A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/51.404400000000003+19.696999999999999","SPO_PL0509A_6001_001","PM2.5","Urban","Background","Piotrków Trybunalski, ul. Krakowskie Przedmieście","Piotrków Trybunalski",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/51.404400000000003+19.696999999999999","SPO_PL0509A_6001_001","ug/m3","ug/m3",2018,51.4044,19.697,"",28.164,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0527A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.921900000000001+18.471299999999999","SPO_PL0527A_6001_001","PM2.5","Rural","Background","Godów, ul. Gliniki","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.921900000000001+18.471299999999999","SPO_PL0527A_6001_001","ug/m3","ug/m3",2018,49.9219,18.4713,"",38.547,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0530A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.444699999999997+18.829599999999999","SPO_PL0530A_6001_001","PM2.5","Urban","Background","Tarnowskie Góry, ul. Litewska","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.444699999999997+18.829599999999999","SPO_PL0530A_6001_001","ug/m3","ug/m3",2018,50.4447,18.8296,"",28.97,NA,"",2018,"East"
