"","country","year_of_statistics","Premature_deaths","region","average_pm25"
"132","Estonia",2018,"231","East",6.09385714285714
"133","Estonia",2019,"80","East",4.68542857142857
"134","Estonia",2020,"59","East",4.37757142857143
"135","Estonia",2021,"114","East",4.9254
"136","Estonia",2022,"87","East",4.66585714285714
"137","Ireland",2005,"644",NA,NA
"138","Ireland",2007,"325",NA,NA
"139","Ireland",2008,"832",NA,NA
"140","Ireland",2009,"737",NA,NA
"141","Ireland",2010,"1009",NA,NA
"142","Ireland",2011,"770",NA,NA
"143","Ireland",2012,"642",NA,NA
"144","Ireland",2013,"880",NA,NA
"145","Ireland",2014,"816",NA,NA
"146","Ireland",2015,"392",NA,NA
"147","Ireland",2016,"466",NA,NA
"148","Ireland",2017,"277",NA,NA
"149","Ireland",2018,"625","West",7.99655555555556
"150","Ireland",2019,"597","West",9.06444444444444
"151","Ireland",2020,"489","West",8.35783870967742
"152","Ireland",2021,"487","West",8.36923529411765
"153","Ireland",2022,"527","West",8.26110638297872
"154","Greece",2005,"15315",NA,NA
"155","Greece",2007,"12577",NA,NA
"156","Greece",2008,"13202",NA,NA
"157","Greece",2009,"13421",NA,NA
"158","Greece",2010,"11990",NA,NA
"159","Greece",2011,"13003",NA,NA
"160","Greece",2012,"12276",NA,NA
"161","Greece",2013,"11479",NA,NA
"162","Greece",2014,"9651",NA,NA
"163","Greece",2015,"12502",NA,NA
"164","Greece",2016,"12169",NA,NA
"165","Greece",2017,"20695",NA,NA
"166","Greece",2018,"11151",NA,NA
"167","Greece",2019,"9480",NA,NA
"168","Greece",2020,"8813",NA,NA
"169","Greece",2021,"11026",NA,NA
"170","Greece",2022,"10729",NA,NA
"171","Spain",2005,"34031",NA,NA
"172","Spain",2007,"31439",NA,NA
"173","Spain",2008,"24590",NA,NA
"174","Spain",2009,"24482",NA,NA
"175","Spain",2010,"19199",NA,NA
"176","Spain",2011,"20928",NA,NA
"177","Spain",2012,"20396",NA,NA
"178","Spain",2013,"15816",NA,NA
"179","Spain",2014,"15454",NA,NA
"180","Spain",2015,"22199",NA,NA
"181","Spain",2016,"17515",NA,NA
"182","Spain",2017,"20152",NA,NA
"183","Spain",2018,"15124",NA,NA
"184","Spain",2019,"14745",NA,NA
"185","Spain",2020,"16994",NA,NA
"186","Spain",2021,"14088",NA,NA
"187","Spain",2022,"18549",NA,NA
"188","France",2005,"38735",NA,NA
"189","France",2007,"32812",NA,NA
"190","France",2008,"34929",NA,NA
"191","France",2009,"39699",NA,NA
"192","France",2010,"40526",NA,NA
"193","France",2011,"40048",NA,NA
"194","France",2012,"36665",NA,NA
"195","France",2013,"35682",NA,NA
"196","France",2014,"22700",NA,NA
"197","France",2015,"28192",NA,NA
"198","France",2016,"24435",NA,NA
"199","France",2017,"22995",NA,NA
"200","France",2018,"22902","West",10.4509659863946
"201","France",2019,"18697","West",9.47237662337662
"202","France",2020,"16476","West",8.60538150289017
"203","France",2021,"19704","West",9.34583597883598
"204","France",2022,"20683","West",9.55549261083744
"205","Croatia",2005,"6542",NA,NA
"206","Croatia",2007,"5256",NA,NA
"207","Croatia",2008,"4912",NA,NA
"208","Croatia",2009,"5375",NA,NA
"209","Croatia",2010,"5435",NA,NA
"210","Croatia",2011,"5907",NA,NA
"211","Croatia",2012,"4254",NA,NA
"212","Croatia",2013,"4127",NA,NA
"213","Croatia",2014,"3796",NA,NA
"214","Croatia",2015,"4714",NA,NA
"215","Croatia",2016,"5199",NA,NA
"216","Croatia",2017,"4753",NA,NA
"217","Croatia",2018,"4804",NA,NA
"218","Croatia",2019,"3563",NA,NA
"219","Croatia",2020,"4260",NA,NA
"220","Croatia",2021,"4369",NA,NA
"221","Croatia",2022,"3813",NA,NA
"222","Italy",2005,"71867",NA,NA
"223","Italy",2007,"60498",NA,NA
"224","Italy",2008,"58572",NA,NA
"225","Italy",2009,"58013",NA,NA
"226","Italy",2010,"51817",NA,NA
"227","Italy",2011,"65837",NA,NA
"228","Italy",2012,"59739",NA,NA
"229","Italy",2013,"54592",NA,NA
"230","Italy",2014,"46040",NA,NA
"231","Italy",2015,"61503",NA,NA
"232","Italy",2016,"50044",NA,NA
"233","Italy",2017,"55162",NA,NA
"234","Italy",2018,"47316",NA,NA
"235","Italy",2019,"42679",NA,NA
"236","Italy",2020,"52312",NA,NA
"237","Italy",2021,"44461",NA,NA
"238","Italy",2022,"48606",NA,NA
"239","Cyprus",2005,"1136",NA,NA
"240","Cyprus",2007,"884",NA,NA
"241","Cyprus",2008,"963",NA,NA
"242","Cyprus",2009,"753",NA,NA
"243","Cyprus",2010,"792",NA,NA
"244","Cyprus",2011,"931",NA,NA
"245","Cyprus",2012,"1070",NA,NA
"246","Cyprus",2013,"589",NA,NA
"247","Cyprus",2014,"620",NA,NA
"248","Cyprus",2015,"709",NA,NA
"249","Cyprus",2016,"541",NA,NA
"250","Cyprus",2017,"620",NA,NA
"251","Cyprus",2018,"527",NA,NA
"252","Cyprus",2019,"583",NA,NA
"253","Cyprus",2020,"564",NA,NA
"254","Cyprus",2021,"629",NA,NA
"255","Cyprus",2022,"693",NA,NA
"256","Latvia",2005,"2639",NA,NA
"257","Latvia",2007,"1616",NA,NA
"258","Latvia",2008,"2400",NA,NA
"259","Latvia",2009,"1690",NA,NA
"260","Latvia",2010,"2044",NA,NA
"261","Latvia",2011,"1427",NA,NA
"262","Latvia",2012,"1526",NA,NA
"263","Latvia",2013,"1553",NA,NA
"264","Latvia",2014,"1783",NA,NA
"265","Latvia",2015,"1247",NA,NA
"266","Latvia",2016,"1241",NA,NA
"267","Latvia",2017,"898",NA,NA
"268","Latvia",2018,"1434","East",14.1684
"269","Latvia",2019,"1002","East",11.433
"270","Latvia",2020,"836","East",10.9822
"271","Latvia",2021,"1405","East",13.55325
"272","Latvia",2022,"822","East",9.3974
"273","Lithuania",2005,"3224",NA,NA
"274","Lithuania",2007,"2632",NA,NA
"275","Lithuania",2008,"3030",NA,NA
"276","Lithuania",2009,"2157",NA,NA
"277","Lithuania",2010,"3158",NA,NA
"278","Lithuania",2011,"2574",NA,NA
"279","Lithuania",2012,"2257",NA,NA
"280","Lithuania",2013,"2477",NA,NA
"281","Lithuania",2014,"2791",NA,NA
"282","Lithuania",2015,"2086",NA,NA
"283","Lithuania",2016,"2027",NA,NA
"284","Lithuania",2017,"1463",NA,NA
"285","Lithuania",2018,"2079","East",12.8505714285714
"286","Lithuania",2019,"1860","East",12.3624285714286
"287","Lithuania",2020,"1454","East",8.822
"288","Lithuania",2021,"2138","East",10.027
"289","Lithuania",2022,"1472","East",8.779625
"290","Luxembourg",2005,"261",NA,NA
"291","Luxembourg",2007,"207",NA,NA
"292","Luxembourg",2008,"235",NA,NA
"293","Luxembourg",2009,"279",NA,NA
"294","Luxembourg",2010,"278",NA,NA
"295","Luxembourg",2011,"238",NA,NA
"296","Luxembourg",2012,"207",NA,NA
"297","Luxembourg",2013,"241",NA,NA
"298","Luxembourg",2014,"182",NA,NA
"299","Luxembourg",2015,"201",NA,NA
"300","Luxembourg",2016,"175",NA,NA
"301","Luxembourg",2017,"149",NA,NA
"302","Luxembourg",2018,"149","West",9.07025
"303","Luxembourg",2019,"94","West",7.8805
"304","Luxembourg",2020,"74","West",7.1435
"305","Luxembourg",2021,"77","West",7.1165
"306","Luxembourg",2022,"75","West",7.739
"307","Hungary",2005,"18008",NA,NA
"308","Hungary",2007,"13054",NA,NA
"309","Hungary",2008,"12961",NA,NA
"310","Hungary",2009,"13498",NA,NA
"311","Hungary",2010,"13702",NA,NA
"312","Hungary",2011,"16364",NA,NA
"313","Hungary",2012,"12509",NA,NA
"314","Hungary",2013,"11577",NA,NA
"315","Hungary",2014,"10763",NA,NA
"316","Hungary",2015,"13034",NA,NA
"317","Hungary",2016,"11298",NA,NA
"318","Hungary",2017,"12620",NA,NA
"319","Hungary",2018,"12171","East",18.578
"320","Hungary",2019,"8672","East",14.752125
"321","Hungary",2020,"9504","East",13.3259090909091
"322","Hungary",2021,"10393","East",14.7845833333333
"323","Hungary",2022,"8573","East",13.5728571428571
"324","Malta",2005,"351",NA,NA
"325","Malta",2007,"271",NA,NA
"326","Malta",2008,"227",NA,NA
"327","Malta",2009,"260",NA,NA
"328","Malta",2010,"188",NA,NA
"329","Malta",2011,"243",NA,NA
"330","Malta",2012,"181",NA,NA
"331","Malta",2013,"173",NA,NA
"332","Malta",2014,"162",NA,NA
"333","Malta",2015,"199",NA,NA
"334","Malta",2016,"150",NA,NA
"335","Malta",2017,"173",NA,NA
"336","Malta",2018,"196",NA,NA
"337","Malta",2019,"190",NA,NA
"338","Malta",2020,"151",NA,NA
"339","Malta",2021,"196",NA,NA
"340","Malta",2022,"173",NA,NA
"341","Netherlands",2005,"11988",NA,NA
"342","Netherlands",2007,"10169",NA,NA
"343","Netherlands",2008,"11278",NA,NA
"344","Netherlands",2009,"11239",NA,NA
"345","Netherlands",2010,"11897",NA,NA
"346","Netherlands",2011,"11675",NA,NA
"347","Netherlands",2012,"8649",NA,NA
"348","Netherlands",2013,"9198",NA,NA
"349","Netherlands",2014,"8603",NA,NA
"350","Netherlands",2015,"7682",NA,NA
"351","Netherlands",2016,"6645",NA,NA
"352","Netherlands",2017,"6702",NA,NA
"353","Netherlands",2018,"7563","West",12.4428444444444
"354","Netherlands",2019,"6063","West",10.9171333333333
"355","Netherlands",2020,"4976","West",9.25469565217391
"356","Netherlands",2021,"5700","West",9.60912765957447
"357","Netherlands",2022,"5254","West",9.49339130434783
"358","Austria",2005,"7167",NA,NA
"359","Austria",2007,"5416",NA,NA
"360","Austria",2008,"5921",NA,NA
"361","Austria",2009,"5826",NA,NA
"362","Austria",2010,"6737",NA,NA
"363","Austria",2011,"6720",NA,NA
"364","Austria",2012,"5391",NA,NA
"365","Austria",2013,"5856",NA,NA
"366","Austria",2014,"4289",NA,NA
"367","Austria",2015,"4901",NA,NA
"368","Austria",2016,"3961",NA,NA
"369","Austria",2017,"4234",NA,NA
"370","Austria",2018,"5007","West",14.1077954545455
"371","Austria",2019,"3682","West",11.6547115384615
"372","Austria",2020,"3168","West",10.206298245614
"373","Austria",2021,"3204","West",10.6510327868852
"374","Austria",2022,"3321","West",10.5354852941176
"375","Poland",2005,"42174",NA,NA
"376","Poland",2007,"36094",NA,NA
"377","Poland",2008,"40404",NA,NA
"378","Poland",2009,"42377",NA,NA
"379","Poland",2010,"52661",NA,NA
"380","Poland",2011,"50128",NA,NA
"381","Poland",2012,"47721",NA,NA
"382","Poland",2013,"45917",NA,NA
"383","Poland",2014,"45153",NA,NA
"384","Poland",2015,"44506",NA,NA
"385","Poland",2016,"41588",NA,NA
"386","Poland",2017,"44862",NA,NA
"387","Poland",2018,"46823","East",23.5554526315789
"388","Poland",2019,"35675","East",18.9565135135135
"389","Poland",2020,"36562","East",16.9173658536585
"390","Poland",2021,"47335","East",19.1697615384615
"391","Poland",2022,"34719","East",16.6236315789474
"392","Portugal",2005,"9168",NA,NA
"393","Portugal",2007,"6282",NA,NA
"394","Portugal",2008,"4293",NA,NA
"395","Portugal",2009,"5217",NA,NA
"396","Portugal",2010,"4074",NA,NA
"397","Portugal",2011,"4870",NA,NA
"398","Portugal",2012,"3682",NA,NA
"399","Portugal",2013,"3653",NA,NA
"400","Portugal",2014,"2620",NA,NA
"401","Portugal",2015,"3942",NA,NA
"402","Portugal",2016,"2912",NA,NA
"403","Portugal",2017,"3041",NA,NA
"404","Portugal",2018,"2640",NA,NA
"405","Portugal",2019,"2517",NA,NA
"406","Portugal",2020,"2641",NA,NA
"407","Portugal",2021,"2129",NA,NA
"408","Portugal",2022,"3639",NA,NA
"409","Romania",2005,"42331",NA,NA
"410","Romania",2007,"33137",NA,NA
"411","Romania",2008,"30316",NA,NA
"412","Romania",2009,"26399",NA,NA
"413","Romania",2010,"21934",NA,NA
"414","Romania",2011,"29354",NA,NA
"415","Romania",2012,"28368",NA,NA
"416","Romania",2013,"23046",NA,NA
"417","Romania",2014,"22053",NA,NA
"418","Romania",2015,"24011",NA,NA
"419","Romania",2016,"21597",NA,NA
"420","Romania",2017,"23484",NA,NA
"421","Romania",2018,"23168","East",18.6105714285714
"422","Romania",2019,"18481","East",16.132
"423","Romania",2020,"21601","East",14.1303636363636
"424","Romania",2021,"22086","East",14.6456153846154
"425","Romania",2022,"17949","East",14.1681176470588
"426","Slovenia",2005,"2035",NA,NA
"427","Slovenia",2007,"1558",NA,NA
"428","Slovenia",2008,"1563",NA,NA
"429","Slovenia",2009,"1698",NA,NA
"430","Slovenia",2010,"1717",NA,NA
"431","Slovenia",2011,"1954",NA,NA
"432","Slovenia",2012,"1632",NA,NA
"433","Slovenia",2013,"1605",NA,NA
"434","Slovenia",2014,"1306",NA,NA
"435","Slovenia",2015,"1657",NA,NA
"436","Slovenia",2016,"1470",NA,NA
"437","Slovenia",2017,"1556",NA,NA
"438","Slovenia",2018,"1498","East",15.37
"439","Slovenia",2019,"1144","East",12.45275
"440","Slovenia",2020,"1236","East",14.622
"441","Slovenia",2021,"1137","East",12.2976
"442","Slovenia",2022,"1278","East",15.396
"443","Slovakia",2005,"6700",NA,NA
"444","Slovakia",2007,"5344",NA,NA
"445","Slovakia",2008,"5544",NA,NA
"446","Slovakia",2009,"5337",NA,NA
"447","Slovakia",2010,"5882",NA,NA
"448","Slovakia",2011,"6771",NA,NA
"449","Slovakia",2012,"5580",NA,NA
"450","Slovakia",2013,"5281",NA,NA
"451","Slovakia",2014,"4877",NA,NA
"452","Slovakia",2015,"5131",NA,NA
"453","Slovakia",2016,"4473",NA,NA
"454","Slovakia",2017,"5032",NA,NA
"455","Slovakia",2018,"4857","East",17.99575
"456","Slovakia",2019,"3465","East",15.4065625
"457","Slovakia",2020,"3920","East",14.6324242424242
"458","Slovakia",2021,"5359","East",16.0808648648649
"459","Slovakia",2022,"3710","East",14.8501304347826
"460","Finland",2005,"1242",NA,NA
"461","Finland",2007,"1261",NA,NA
"462","Finland",2008,"846",NA,NA
"463","Finland",2009,"629",NA,NA
"464","Finland",2010,"1010",NA,NA
"465","Finland",2011,"954",NA,NA
"466","Finland",2012,"774",NA,NA
"467","Finland",2013,"369",NA,NA
"468","Finland",2014,"883",NA,NA
