"Air.Pollution.Class","Concatenate.pollutant.aggregation","Country.Fake","DownloadRawData","GoogleMap","Sampling.Point","Air.Pollutant.Group","Air.Quality.Station.Area","Air.Quality.Station.Type","AQ.Station.Name","City","Country.Colour","Country","Data.Aggregation.Label","DownloadRawData.1","GoogleMap.1","Sampling.Point.1","Unit.Of.Airpollution.Level","UOM.corrected","Year.Of.Statistics","Latitude","Longitude","Geometry..generated.","Air.Pollution.Level","Threshold.1","Threshold.3","Year"
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0505A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/51.317599999999999+15.431699999999999","SPO_PL0505A_6001_001","PM2.5","Rural","Background","Osieczów","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/51.317599999999999+15.431699999999999","SPO_PL0505A_6001_001","ug/m3","ug/m3",2021,51.3176,15.4317,"",12.3,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0517A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.972200000000001+18.207599999999999","SPO_PL0517A_6001_001","PM2.5","Urban","Background","Kluczbork, ul. Mickiewicza","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.972200000000001+18.207599999999999","SPO_PL0517A_6001_001","ug/m3","ug/m3",2021,50.9722,18.2076,"",18.121,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0518A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.744900000000001+21.454599999999999","SPO_PL0518A_6001_001","PM2.5","Urban","Background","Jaslo, ul. Sikorskiego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.744900000000001+21.454599999999999","SPO_PL0518A_6001_001","ug/m3","ug/m3",2021,49.7449,21.4546,"",17.557,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0520A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/54.465800000000002+18.4649","SPO_PL0520A_6001_001","PM2.5","Urban","Background","Gdynia, ul. Szafranowa","Gdynia",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/54.465800000000002+18.4649","SPO_PL0520A_6001_001","ug/m3","ug/m3",2021,54.4658,18.4649,"",15.522,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0534A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/52.926299999999998+14.8628","SPO_PL0534A_6001_001","PM2.5","Urban","Background","Myślibórz, ul. Za Bramką","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/52.926299999999998+14.8628","SPO_PL0534A_6001_001","ug/m3","ug/m3",2021,52.9263,14.8628,"",16.283,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0535A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.7121+16.692499999999999","SPO_PL0535A_6001_001","PM2.5","Urban","Background","Szczecinek, ul. 1 Maja","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.7121+16.692499999999999","SPO_PL0535A_6001_001","ug/m3","ug/m3",2021,53.7121,16.6925,"",13.313,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0538A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/52.1721+22.282","SPO_PL0538A_6001_001","PM2.5","Urban","Background","Siedlce, ul. Konarskiego","Siedlce",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/52.1721+22.282","SPO_PL0538A_6001_001","ug/m3","ug/m3",2021,52.1721,22.282,"",19.691,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0542A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.491799999999998+18.752500000000001","SPO_PL0542A_6001_001","PM2.5","Urban","Background","Grudziądz, ul. Sienkiewicza","Grudziadz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.491799999999998+18.752500000000001","SPO_PL0542A_6001_001","ug/m3","ug/m3",2021,53.4918,18.7525,"",18.598,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0558A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/54.120699999999999+17.975899999999999","SPO_PL0558A_6001_001","PM2.5","Urban","Background","Kościerzyna, ul. Targowa","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/54.120699999999999+17.975899999999999","SPO_PL0558A_6001_001","ug/m3","ug/m3",2021,54.1207,17.9759,"",19.552,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0560A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/54.546199999999999+17.746200000000002","SPO_PL0560A_6001_001","PM2.5","Urban","Background","Lębork, ul. Malczewskiego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/54.546199999999999+17.746200000000002","SPO_PL0560A_6001_001","ug/m3","ug/m3",2021,54.5462,17.7462,"",16.007,NA,"",2021
